exchange,targetHotWallet,rank,address,isKnownExchangeHotWallet,depositAmountQuid,depositTransferCount,firstDepositAt,lastDepositAt
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,1,0x3f9cbe896566b60d7ce228bc740dd2744ada67b5,false,659817.578500114462876371,1,2026-08-04T14:06:41Z,2026-08-04T14:06:41Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,2,0x6dad34d67d76f453369efd06216ba85f00d117b5,false,441939.078753897023691817,1,2026-08-04T13:35:27Z,2026-08-04T13:35:27Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,3,0x7be95e473627d0c2b13b774a5bdf125c5236be96,false,400000,1,2026-08-04T13:41:01Z,2026-08-04T13:41:01Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,4,0x4193d6164912888abb8eb2a093929bcf4a240066,false,300000,1,2026-08-04T13:35:45Z,2026-08-04T13:35:45Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,5,0x3257772c9dbaf4feeba95e9938923054e3639565,false,282265.761156532454780045,1,2026-08-04T14:06:27Z,2026-08-04T14:06:27Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,6,0xe4eba9bb8de1a5b3667e81d553d2ed19d93d446c,false,275156.895120868716212362,1,2026-08-04T14:06:33Z,2026-08-04T14:06:33Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,7,0x6977adaaa47e2bd3e26a3aa2bae5a472aea2f259,false,223345.597175068879083679,2,2026-08-04T13:20:27Z,2026-08-04T13:35:43Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,8,0x79869697b5452d44048fde85340ab7c9295c864d,false,178317.590184924615934741,2,2026-08-04T13:40:43Z,2026-08-04T14:06:37Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,9,0x47283d8e38489ca2783a561c57f12e793dafba5a,false,159166.959571099574472125,1,2026-08-04T14:06:41Z,2026-08-04T14:06:41Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,10,0x740bb7a07ebaf211af52728d5eef625e9aeed40d,false,158350.907788336414726168,1,2026-08-04T14:06:39Z,2026-08-04T14:06:39Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,11,0x3d73813545c7ee068da84292f78e3ab6b660707f,false,131974.609005248468529502,1,2026-08-04T13:20:17Z,2026-08-04T13:20:17Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,12,0x15e3b2a75640ae7e3dc1079fd06334fc6bf5439d,false,120000,1,2026-08-04T14:06:43Z,2026-08-04T14:06:43Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,13,0x57517903c5faaaa6b2cfd405923ed96da2450fd8,false,118798.527216854459817648,4,2026-08-04T13:20:27Z,2026-08-04T14:06:29Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,14,0xd62555ab18ea8fa8566eea8e117b9e3ee4212d97,false,110524.03,1,2026-08-04T14:06:33Z,2026-08-04T14:06:33Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,15,0xeb87729d01deba5cb7a5abdd80e271ab402ad705,false,86373.8849,2,2026-08-04T13:40:47Z,2026-08-04T14:06:35Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,16,0x6cd630e29d2bc4ac692a4143a9286a3501ed5add,false,84190.63833,1,2026-08-04T14:06:39Z,2026-08-04T14:06:39Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,17,0x4fc0dcea6f90ad985639a752331b082aeaab1ce1,false,77777.777777777777777777,1,2026-08-04T13:20:27Z,2026-08-04T13:20:27Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,18,0x66bedeb80798e67b89f5af2bf57592703d0c0ebd,false,75698.386294693211021681,1,2026-08-04T13:40:59Z,2026-08-04T13:40:59Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,19,0x361364e89bbd3bcf851b818dc3c8bf963ef108f0,false,70000,1,2026-08-04T13:35:47Z,2026-08-04T13:35:47Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,20,0x1e40b94d026a58f23fdbc20b8354c816bdd3dac9,false,66666.666666666666666666,2,2026-08-04T13:20:15Z,2026-08-04T13:35:47Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,21,0xf13496ae45fd5255a31ec2d16744f718139f41fc,false,66374.606285,1,2026-08-04T14:06:37Z,2026-08-04T14:06:37Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,22,0x846b0a320c3397f2880b59095c4b4ae5085cdbd4,false,65555.666666666666666666,1,2026-08-04T13:35:31Z,2026-08-04T13:35:31Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,23,0x2659ab99ab1aeb782081c6021479f64ba8f1dec5,false,65183.989404287103709832,2,2026-08-04T13:35:29Z,2026-08-04T14:06:43Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,24,0xe49575e4711c2820f15d8d31a500ac3c9871fd2c,false,61061.7518792058938829,1,2026-08-04T14:06:33Z,2026-08-04T14:06:33Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,25,0x073778f1f9960b697a79fcd9e0069ca8165d4dc2,false,55778.950107262032135915,1,2026-08-04T13:35:43Z,2026-08-04T13:35:43Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,26,0xe2ea1951283821cc2784e5a57d50e39cfe30dfa3,false,55555.555555555555555555,1,2026-08-04T13:35:43Z,2026-08-04T13:35:43Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,27,0x0be3864c30a54610ca3bcd4b036707b22195df00,false,55544,1,2026-08-04T13:35:49Z,2026-08-04T13:35:49Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,28,0x110431d2e294a2a095ca1f86ddf1668ff4f15ece,false,54444,2,2026-08-04T13:35:49Z,2026-08-04T14:06:37Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,29,0x4e85b55ea1536f0f3ab7a7473dd5a43ffc77587c,false,51566.520730033350551678,1,2026-08-04T14:06:41Z,2026-08-04T14:06:41Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,30,0xbae6576e76f7a09d7fd779928c63d417aa446bea,false,48033.6112,2,2026-08-04T13:40:47Z,2026-08-04T14:06:31Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,31,0x3e96e5cb37c153ed8aac45dc0cdb8a91f4341906,false,43113.464865122012809616,1,2026-08-04T13:35:47Z,2026-08-04T13:35:47Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,32,0x1571a419a73589b5be9f0df5694897d5b3d74de5,false,40000,2,2026-08-04T13:35:49Z,2026-08-04T13:40:53Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,33,0xcef8254ac0d7b0491ca06ca5c3901e4749523a97,false,39918.18036099921916377,1,2026-08-04T14:06:33Z,2026-08-04T14:06:33Z
Upbit,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,34,0x9487f7b408b8d1f4ad5bddd439ee2e74ef7e4364,false,39911.775582931064323927,1,2026-08-04T14:06:31Z,2026-08-04T14:06:31Z
